Annuncio,Link,Prezzo,Anni,Immatricolazione,Chilometraggio,Cambio,Carburante,CV,Allestimento,Allestimento_unificato,Modello,Venditore,Distanza,Comune,CAP,Regione,Area
Bmw 116 116d 5p.,https://www.automobile.it/sant-antimo-bmw-116-116d-5p/180813246,17499,4,2021,150,automatico,Diesel,116,M,Performance,116d,Rivenditore,485,sant antimo,80029,Campania,Sud
Bmw 116 116d 5p. Business Advantage,https://www.automobile.it/cerignola-bmw-116-116d-5p-business-advantage/180016660,17500,4,2021,216,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,542,cerignola,71042,Puglia,Sud
Bmw 116 116d 5p. Sport,https://www.automobile.it/roma-bmw-116-116d-5p-sport/180816870,17500,5,2020,172,automatico,Diesel,116,Sport Line,Middle,116d,Rivenditore,326,roma,118,Lazio,Centro
Bmw 116d Auto 5p. Msport-2020,https://www.automobile.it/ottaviano-bmw-116d-auto-5p-msport-2020/180420450,17700,5,2020,179,automatico,Diesel,116,M Sport,Sport,116d,Rivenditore,504,ottaviano,80044,Campania,Sud
Bmw 116 116d 5p. Msport-01/2020,https://www.automobile.it/ottaviano-bmw-116-116d-5p-msport-01-2020/180694091,17700,5,2020,179,automatico,Diesel,116,M Sport,Sport,116d,Rivenditore,504,ottaviano,80044,Campania,Sud
Bmw 116d 5p. F40 1.5 116 cv,https://www.automobile.it/santeramo-colle-bmw-116d-5p-f40-1-5-116-cv/180678036,17800,5,2020,167,automatico,Diesel,116,M,Performance,116d,Rivenditore,629,santeramo colle,70029,Puglia,Sud
BMW Serie 1 116i 5p. Advantage Automatico,https://www.automobile.it/parma-bmw-serie-1-116i-5p-advantage-automatico/179702068,17900,4,2021,96,automatico,Benzina,109,Advantage,Base,116i,Rivenditore,65,parma,43121,Emilia-Romagna,Nord-est
BMW Serie 1 (F40) 118i Advantage 2020,https://www.automobile.it/arzachena-bmw-serie-1-f40-118i-advantage-2020/180797073,17900,5,2020,79,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,423,arzachena,7021,Sardegna,Isole
BMW 116 d 5p. Advantage ANCHE X NEOPATENTATI,https://www.automobile.it/russi-bmw-116-d-5p-advantage-x-neopatentati/180167909,17950,5,2020,118,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,78,russi,48026,Emilia-Romagna,Nord-est
Bmw 118 118i 5p. Business Advantage,https://www.automobile.it/bussero-bmw-118-118i-5p-business-advantage/180815402,17950,4,2021,99,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,169,bussero,20041,Lombardia,Nord-ovest
Bmw 118i 5p. Business Advantage PDC,https://www.automobile.it/roma-bmw-118i-5p-business-advantage-pdc/177985393,17990,5,2020,59,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,326,roma,118,Lazio,Centro
BMW Serie 1 116d 5p. Business Advantage,https://www.automobile.it/ferrara-bmw-serie-1-116d-5p-business-advantage/180457915,17990,5,2020,124,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,42,ferrara,44121,Emilia-Romagna,Nord-est
Bmw 116 116d 5p. Business Advantage,https://www.automobile.it/alessandria-bmw-116-116d-5p-business-advantage/180321092,17999,4,2021,129,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,201,alessandria,15121,Piemonte,Nord-ovest
BMW 116 d Sport auto * NEOPATENTATI * 98.000 KM *,https://www.automobile.it/prato-bmw-116-d-sport-auto-neopatentati-98-000-km/180397472,17999,4,2021,98,automatico,Diesel,116,Sport Line,Middle,116d,Rivenditore,87,prato,59100,Toscana,Centro
BMW 116 d Sport auto * TAGLIANDI CERTIFICATI *,https://www.automobile.it/prato-bmw-116-d-sport-auto-tagliandi-certificati/180815716,17999,4,2021,119,automatico,Diesel,116,Sport Line,Middle,116d,Rivenditore,87,prato,59100,Toscana,Centro
BMW 118 d Serie 1 F40 Sport auto,https://www.automobile.it/prato-bmw-118-d-serie-1-f40-sport-auto/180861247,17999,4,2021,119,automatico,Diesel,150,Sport Line,Middle,118d,Rivenditore,87,prato,59100,Toscana,Centro
Bmw 116 116d 5p.,https://www.automobile.it/santa-elisabetta-bmw-116-116d-5p/180257813,18000,5,2020,137,automatico,Diesel,116,M,Performance,116d,Rivenditore,828,santa elisabetta,92020,Sicilia,Isole
Bmw 116 116d 5p. Business Advantage anno 2019,https://www.automobile.it/oppido-lucano-bmw-116-116d-5p-business-advantage-anno-2019/180588252,18100,5,2020,67,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,587,oppido lucano,85015,Basilicata,Sud
BMW Serie 1 5 Porte 116 d SCR Business Advantage DCT,https://www.automobile.it/perugia-bmw-serie-1-5-porte-116-d-scr-business-advantage-dct/180684797,18400,5,2020,164,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,200,perugia,6121,Umbria,Centro
BMW 116 d 5p. Sport AUT - NAVI - LED - BT - 17,https://www.automobile.it/imola-bmw-116-d-5p-sport-aut-navi-led-bt-17/180796273,18400,5,2020,99,automatico,Diesel,116,Sport Line,Middle,116d,Rivenditore,57,imola,40026,Emilia-Romagna,Nord-est
BMW 116 d 5p. Business Advantage,https://www.automobile.it/adrano-bmw-116-d-5p-business-advantage/179292832,18490,5,2020,113,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,837,adrano,95031,Sicilia,Isole
Bmw 116 118d 5p. Msport,https://www.automobile.it/qualiano-bmw-116-118d-5p-msport/180590695,18500,5,2020,200,automatico,Diesel,150,M Sport,Sport,118d,Rivenditore,483,qualiano,80019,Campania,Sud
Bmw 116d 5p. Advantage Navi pdc Fari led,https://www.automobile.it/roma-bmw-116d-5p-advantage-navi-pdc-fari-led/180831280,18500,4,2021,70,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,326,roma,118,Lazio,Centro
BMW 116 d Sport,https://www.automobile.it/bellona-bmw-116-d-sport/176453380,18800,4,2021,147,automatico,Diesel,116,Sport Line,Middle,116d,Rivenditore,464,bellona,81041,Campania,Sud
Bmw 116i Sport Automatico Tagliandi BMW !,https://www.automobile.it/cassola-bmw-116i-sport-automatico-tagliandi-bmw/180840261,18800,4,2021,110,automatico,Benzina,109,Sport Line,Middle,116i,Rivenditore,129,cassola,36022,Veneto,Nord-est
Bmw 116d 5p. MSPort OK NEOPATENTATO TAGLIANDI BMW,https://www.automobile.it/anzio-bmw-116d-5p-msport-ok-neopatentato-tagliandi-bmw/180861602,18800,5,2020,123,automatico,Diesel,116,M Sport,Sport,116d,Rivenditore,377,anzio,42,Lazio,Centro
Bmw 116 116d 5p. Business Advantage,https://www.automobile.it/corato-bmw-116-116d-5p-business-advantage/179722831,18899,5,2020,112,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,581,corato,70033,Puglia,Sud
BMW 118 d 5p. Msport Automatic,https://www.automobile.it/varese-bmw-118-d-5p-msport-automatic/180447792,18900,5,2020,143,automatico,Diesel,150,M Sport,Sport,118d,Rivenditore,222,varese,21100,Lombardia,Nord-ovest
Bmw 118 118d 5p. Business Advantage LED NAVI CERCHI 18 PDC CLIMA AUTOMATICO,https://www.automobile.it/roma-bmw-118-118d-5p-business-advantage-led-navi-cerchi-18-pdc-clima-automatico/180696393,18900,5,2020,99,automatico,Diesel,150,Advantage,Base,118d,Rivenditore,326,roma,118,Lazio,Centro
BMW 116 d 5p. Business Advantage aut,https://www.automobile.it/bari-bmw-116-d-5p-business-advantage-aut/180694001,18900,5,2020,83,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,611,bari,70121,Puglia,Sud
Bmw 118 118i 5p. Business Advantage,https://www.automobile.it/chivasso-bmw-118-118i-5p-business-advantage/180779209,18900,3,2022,21,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,262,chivasso,10034,Piemonte,Nord-ovest
Bmw 118 118i 5p. Business Advantage,https://www.automobile.it/chivasso-bmw-118-118i-5p-business-advantage/180779216,18900,3,2022,26,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,262,chivasso,10034,Piemonte,Nord-ovest
Bmw 118 118i 5p. Business Advantage,https://www.automobile.it/chivasso-bmw-118-118i-5p-business-advantage/180779243,18900,3,2022,23,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,262,chivasso,10034,Piemonte,Nord-ovest
BMW 116 Serie 1 F40 116d Advantage auto,https://www.automobile.it/battipaglia-bmw-116-serie-1-f40-116d-advantage-auto/180811909,18900,4,2021,125,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,550,battipaglia,84091,Campania,Sud
BMW 118 d Business Advantage 5 Porte,https://www.automobile.it/qualiano-bmw-118-d-business-advantage-5-porte/180563775,18900,5,2020,127,automatico,Diesel,150,Advantage,Base,118d,Rivenditore,483,qualiano,80019,Campania,Sud
BMW 116 i Advantage Aut.,https://www.automobile.it/verona-bmw-116-advantage-aut/180825456,18900,4,2021,84,automatico,Benzina,109,Advantage,Base,116i,Rivenditore,86,verona,37121,Veneto,Nord-est
Bmw Serie 1 116d 116cv anno 2020,https://www.automobile.it/bolognetta-bmw-serie-1-116d-116cv-anno-2020/180835142,18900,5,2020,145,automatico,Diesel,116,M,Performance,116d,Rivenditore,768,bolognetta,90030,Sicilia,Isole
BMW Serie 1 116d 5p. Advantage,https://www.automobile.it/fornovo-taro-bmw-serie-1-116d-5p-advantage/178848483,18900,5,2020,125,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,82,fornovo taro,43045,Emilia-Romagna,Nord-est
BMW 118 i 5p. Sport,https://www.automobile.it/oderzo-bmw-118-5p-sport/179434409,18950,5,2020,89,automatico,Benzina,136,Sport Line,Middle,118i,Rivenditore,163,oderzo,31046,Veneto,Nord-est
Bmw 118d 5p. 150CV Aut. Business Advantage E6,https://www.automobile.it/roma-bmw-118d-5p-150cv-aut-business-advantage-e6/178692940,18970,4,2021,159,automatico,Diesel,150,Advantage,Base,118d,Rivenditore,326,roma,118,Lazio,Centro
Bmw 116 116d 5p. Advantage,https://www.automobile.it/albano-laziale-bmw-116-116d-5p-advantage/179512513,18990,5,2020,89,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,348,albano laziale,41,Lazio,Centro
Bmw 118D M-SPORT 150CV O F F E R T A,https://www.automobile.it/sciacca-bmw-118d-m-sport-150cv-f-f-r-t/179608986,18990,5,2020,178,automatico,Diesel,150,M Sport,Sport,118d,Rivenditore,811,sciacca,92019,Sicilia,Isole
BMW 116 116d Advantage OK NEOPATENTATI,https://www.automobile.it/romano-lombardia-bmw-116-116d-advantage-ok-neopatentati/180313189,18990,4,2021,69,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,144,romano lombardia,24058,Lombardia,Nord-ovest
Bmw 116d Msport 1.5 116cv - 2021,https://www.automobile.it/giugliano-campania-bmw-116d-msport-1-5-116cv-2021/180488267,18999,4,2021,190,automatico,Diesel,116,M Sport,Sport,116d,Rivenditore,484,giugliano campania,80014,Campania,Sud
Bmw Serie 1 118d 2.0 150cv 2021 cambio automatico,https://www.automobile.it/torre-annunziata-bmw-serie-1-118d-2-0-150cv-2021-cambio-automatico/180848485,18999,4,2021,95,automatico,Diesel,150,M,Performance,118d,Rivenditore,511,torre annunziata,80058,Campania,Sud
Bmw 118 118d 5p. Business Advantage,https://www.automobile.it/crespina-lorenzana-bmw-118-118d-5p-business-advantage/180232779,19000,5,2020,148,automatico,Diesel,150,Advantage,Base,118d,Rivenditore,129,crespina lorenzana,56042,Toscana,Centro
Bmw 116 116d 5p.,https://www.automobile.it/muro-leccese-bmw-116-116d-5p/180767789,19000,4,2021,130,automatico,Diesel,116,M,Performance,116d,Rivenditore,779,muro leccese,73036,Puglia,Sud
"Bmw 118i 5p. Manuale Business Advantage,Navi",https://www.automobile.it/roma-bmw-118i-5p-manuale-business-advantage-navi/180831309,19000,4,2021,40,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,326,roma,118,Lazio,Centro
BMW Serie 1 (F40) 118i 5p. Business Advantage,https://www.automobile.it/legnano-bmw-serie-1-f40-118i-5p-business-advantage/178523099,19100,5,2020,62,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,202,legnano,20025,Lombardia,Nord-ovest
BMW 118 i 5p. Business Advantage /Nav/F.Led/ParK /CAR PLAY,https://www.automobile.it/savigliano-bmw-118-5p-business-advantage-nav-f-led-park-car-play/180686023,19400,4,2021,59,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,275,savigliano,12038,Piemonte,Nord-ovest
Bmw 118 118i 5p. Business Advantage,https://www.automobile.it/monteforte-irpino-bmw-118-118i-5p-business-advantage/180563654,19490,5,2020,51,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,511,monteforte irpino,83024,Campania,Sud
BMW 116 d Msport auto,https://www.automobile.it/prato-bmw-116-d-msport-auto/180444944,19499,4,2021,105,automatico,Diesel,116,M Sport,Sport,116d,Rivenditore,87,prato,59100,Toscana,Centro
Bmw 118d sport 150cv auto 2021,https://www.automobile.it/manerba-garda-bmw-118d-sport-150cv-auto-2021/180842138,19500,4,2021,162,automatico,Diesel,150,Sport Line,Middle,118d,Rivenditore,108,manerba garda,25080,Lombardia,Nord-ovest
BMW 116 d ** NAVI+LED+RETROC.+UNIPRO **,https://www.automobile.it/frosinone-bmw-116-d-navi-led-retroc-unipro/180466162,19700,5,2020,79,automatico,Diesel,116,M,Performance,116d,Rivenditore,381,frosinone,3100,Lazio,Centro
"BMW 118 i Business Advantage ""18 Msport/Navi/Park/OK NEOP",https://www.automobile.it/savigliano-bmw-118-business-advantage-18-msport-navi-park-ok-neop/180173365,19700,4,2021,62,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,275,savigliano,12038,Piemonte,Nord-ovest
Bmw 118d 150cv Autom. *FULL OPT.-LED* da VETRINA,https://www.automobile.it/latiano-bmw-118d-150cv-autom-full-opt-led-vetrina/180833524,19700,5,2020,130,automatico,Diesel,150,M,Performance,118d,Rivenditore,706,latiano,72022,Puglia,Sud
BMW Serie 1 116d 116 CV Automatica 5 Porte Business Advantage,https://www.automobile.it/bari-bmw-serie-1-116d-116-cv-automatica-5-porte-business-advantage/180853431,19800,4,2021,92,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,611,bari,70121,Puglia,Sud
BMW Serie 1 116d 5p. Business Advantage,https://www.automobile.it/perugia-bmw-serie-1-116d-5p-business-advantage/179467110,19900,5,2020,121,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,200,perugia,6121,Umbria,Centro
BMW Serie 1 116d 5p. Business Advantage,https://www.automobile.it/perugia-bmw-serie-1-116d-5p-business-advantage/179546269,19900,4,2021,149,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,200,perugia,6121,Umbria,Centro
"Bmw 118d 5p. Business Advantage -2020 LED/16""",https://www.automobile.it/galatone-bmw-118d-5p-business-advantage-2020-led-16/179542062,19900,5,2020,129,automatico,Diesel,150,Advantage,Base,118d,Rivenditore,759,galatone,73044,Puglia,Sud
BMW Serie 1 5 Porte 116 d SCR Msport DCT,https://www.automobile.it/capaci-bmw-serie-1-5-porte-116-d-scr-msport-dct/180034752,19900,4,2021,188,automatico,Diesel,116,M Sport,Sport,116d,Rivenditore,742,capaci,90040,Sicilia,Isole
"BMW 116 d 5p. Msport ""PARI AL NUOVO""OK NEOPATENTATI""",https://www.automobile.it/parma-bmw-116-d-5p-msport-pari-nuovo-ok-neopatentati/180053024,19900,4,2021,126,automatico,Diesel,116,M Sport,Sport,116d,Rivenditore,65,parma,43121,Emilia-Romagna,Nord-est
Bmw 118 118d 5p. Msport,https://www.automobile.it/roccalumera-bmw-118-118d-5p-msport/180662749,19900,5,2020,189,automatico,Diesel,150,M Sport,Sport,118d,Rivenditore,823,roccalumera,98027,Sicilia,Isole
"BMW 120 118i 140CV BUSINESS ADVANTAGE 5PORTE, UNICO PROP",https://www.automobile.it/quinzano-d-oglio-bmw-120-118i-140cv-business-advantage-5porte-unico-prop/180680043,19900,5,2020,40,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,114,quinzano d oglio,25027,Lombardia,Nord-ovest
"BMW 118 i BUSINESS ADVANTAGE 5PORTE, UNICO PROPRIETARIO",https://www.automobile.it/quinzano-d-oglio-bmw-118-business-advantage-5porte-unico-proprietario/180680044,19900,5,2020,40,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,114,quinzano d oglio,25027,Lombardia,Nord-ovest
BMW 116 d 5p. Business Advantage Led Automatica,https://www.automobile.it/oderzo-bmw-116-d-5p-business-advantage-led-automatica/180690959,19900,4,2021,67,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,163,oderzo,31046,Veneto,Nord-est
Bmw 118 118i 5p. Business Advantage,https://www.automobile.it/chivasso-bmw-118-118i-5p-business-advantage/180779202,19900,3,2022,21,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,262,chivasso,10034,Piemonte,Nord-ovest
Bmw 118 118i 5p. Business Advantage,https://www.automobile.it/chivasso-bmw-118-118i-5p-business-advantage/180779194,19900,3,2022,18,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,262,chivasso,10034,Piemonte,Nord-ovest
Bmw 118 118i 5p. Business Advantage,https://www.automobile.it/chivasso-bmw-118-118i-5p-business-advantage/180779206,19900,3,2022,24,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,262,chivasso,10034,Piemonte,Nord-ovest
Bmw 118 118i 5p. Business Advantage,https://www.automobile.it/chivasso-bmw-118-118i-5p-business-advantage/180779236,19900,3,2022,21,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,262,chivasso,10034,Piemonte,Nord-ovest
Bmw 118 118i 5p. Business Advantage VIRTUAL PRONTA CONSEGNA,https://www.automobile.it/chivasso-bmw-118-118i-5p-business-advantage-virtual-pronta-consegna/180779234,19900,3,2022,22,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,262,chivasso,10034,Piemonte,Nord-ovest
BMW Serie 1 5 Porte 118 d SCR Business Advantage Steptronic,https://www.automobile.it/lodi-bmw-serie-1-5-porte-118-d-scr-business-advantage-steptronic/180793820,19900,5,2020,119,automatico,Diesel,150,Advantage,Base,118d,Rivenditore,147,lodi,26900,Lombardia,Nord-ovest
BMW 116d 5p. Business Advantage,https://www.automobile.it/cagliari-bmw-116d-5p-business-advantage/180540761,19900,3,2022,97,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,628,cagliari,9121,Sardegna,Isole
Bmw 118 d 150CV 5p. M Sport,https://www.automobile.it/gioia-tauro-bmw-118-d-150cv-5p-m-sport/180547340,19900,5,2020,166,automatico,Diesel,150,M Sport,Sport,118d,Rivenditore,798,gioia tauro,89013,Calabria,Sud
BMW 116d ADVANTAGE auto,https://www.automobile.it/siracusa-bmw-116d-advantage-auto/180841735,19900,4,2021,91,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,914,siracusa,96100,Sicilia,Isole
BMW Serie 1 5 Porte 116 d SCR Advantage DCT,https://www.automobile.it/brescia-bmw-serie-1-5-porte-116-d-scr-advantage-dct/179589571,19900,3,2022,111,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,121,brescia,25121,Lombardia,Nord-ovest
Bmw 118 Business Advantage 118 i,https://www.automobile.it/busto-arsizio-bmw-118-business-advantage-118/179134019,19990,4,2021,49,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,208,busto arsizio,21052,Lombardia,Nord-ovest
BMW Serie 1 (F40) 116d 5p. Advantage,https://www.automobile.it/livorno-bmw-serie-1-f40-116d-5p-advantage/180208771,19990,4,2021,65,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,140,livorno,57121,Toscana,Centro
Bmw 120 120d 5p. Business Advantage,https://www.automobile.it/macchiagodena-bmw-120-120d-5p-business-advantage/180768565,19990,4,2021,145,automatico,Diesel,190,Advantage,Base,120d,Rivenditore,435,macchiagodena,86096,Molise,Sud
Bmw 116 116d 5p. Advantage 70000km certificati,https://www.automobile.it/roma-bmw-116-116d-5p-advantage-70000km-certificati/180785723,19990,5,2020,69,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,326,roma,118,Lazio,Centro
Bmw 116d Sport blue -FULL LED,https://www.automobile.it/isernia-bmw-116d-sport-blue-full-led/180860282,19990,4,2021,90,automatico,Diesel,116,Sport Line,Middle,116d,Rivenditore,424,isernia,86170,Molise,Sud
BMW 118 i 5p. M Sport,https://www.automobile.it/milano-bmw-118-5p-m-sport/180579138,19999,5,2020,90,automatico,Benzina,136,M Sport,Sport,118i,Rivenditore,177,milano,20121,Lombardia,Nord-ovest
Bmw 116 116d SPORT 5p. TOTAL BLACK FARI E STOP FULL LED,https://www.automobile.it/casapulla-bmw-116-116d-sport-5p-total-black-fari-stop-full-led/180720356,19999,4,2021,78,automatico,Diesel,116,Sport Line,Middle,116d,Rivenditore,474,casapulla,81020,Campania,Sud
BMW 116 d Msport auto *TAGLIANDI CASA MADRE*,https://www.automobile.it/prato-bmw-116-d-msport-auto-tagliandi-casa-madre/180861836,19999,4,2021,105,automatico,Diesel,116,M Sport,Sport,116d,Rivenditore,87,prato,59100,Toscana,Centro
BMW Serie 1 118d Business Advantage auto,https://www.automobile.it/matera-bmw-serie-1-118d-business-advantage-auto/179294821,20160,5,2020,132,automatico,Diesel,150,Advantage,Base,118d,Rivenditore,630,matera,75100,Basilicata,Sud
BMW Serie 1 5 Porte 118 d SCR Business Advantage Steptronic,https://www.automobile.it/matera-bmw-serie-1-5-porte-118-d-scr-business-advantage-steptronic/180216242,20160,5,2020,134,automatico,Diesel,150,Advantage,Base,118d,Rivenditore,630,matera,75100,Basilicata,Sud
BMW 118 118d 5P Sport auto my18 150cv E6D '17 PDC Navi IVA,https://www.automobile.it/conegliano-bmw-118-118d-5p-sport-auto-my18-150cv-e6d-17-pdc-navi-iva/180796231,20250,5,2020,66,automatico,Diesel,150,Sport Line,Middle,118d,Rivenditore,163,conegliano,31015,Veneto,Nord-est
"BMW 118 i Business Advantage ""18 Msport/Navig/Park/OK NEOP",https://www.automobile.it/savigliano-bmw-118-business-advantage-18-msport-navig-park-ok-neop/179599890,20400,4,2021,59,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,275,savigliano,12038,Piemonte,Nord-ovest
BMW Serie 1 116d 116 CV Automatica 5 Porte Business Advantage,https://www.automobile.it/bari-bmw-serie-1-116d-116-cv-automatica-5-porte-business-advantage/180853439,20400,4,2021,80,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,611,bari,70121,Puglia,Sud
"Bmw 118d 5p. Business Advantage, Navi Manuale",https://www.automobile.it/roma-bmw-118d-5p-business-advantage-navi-manuale/180831328,20499,4,2021,75,automatico,Diesel,150,Advantage,Base,118d,Rivenditore,326,roma,118,Lazio,Centro
Bmw 116 116d 5p. Business Advantage,https://www.automobile.it/corato-bmw-116-116d-5p-business-advantage/180458187,20500,3,2022,83,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,581,corato,70033,Puglia,Sud
BMW 116d 5p. Advantage,https://www.automobile.it/san-michele-salentino-bmw-116d-5p-advantage/180613303,20500,5,2020,114,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,695,san michele salentino,72018,Puglia,Sud
Bmw 118 118i 5p. Sport,https://www.automobile.it/venezia-bmw-118-118i-5p-sport/180556349,20500,5,2020,49,automatico,Benzina,136,Sport Line,Middle,118i,Rivenditore,127,venezia,30121,Veneto,Nord-est
Bmw 116 116d 5p. Sport,https://www.automobile.it/frosinone-bmw-116-116d-5p-sport/180811616,20500,5,2020,115,automatico,Diesel,116,Sport Line,Middle,116d,Rivenditore,381,frosinone,3100,Lazio,Centro
Bmw 116 116d 5p. Business Advantage Nav Autom. 2021,https://www.automobile.it/marigliano-bmw-116-116d-5p-business-advantage-nav-autom-2021/180857409,20500,4,2021,58,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,496,marigliano,80034,Campania,Sud
BMW 118 d 5p. *AUTOMATICA*,https://www.automobile.it/pordenone-bmw-118-d-5p-automatica/179877868,20700,5,2020,115,automatico,Diesel,150,M,Performance,118d,Rivenditore,186,pordenone,33170,Friuli-Venezia Giulia,Nord-est
BMW 118 d 5p. *AUTOMATICA*,https://www.automobile.it/vittorio-veneto-bmw-118-d-5p-automatica/179899708,20700,5,2020,115,automatico,Diesel,150,M,Performance,118d,Rivenditore,173,vittorio veneto,31029,Veneto,Nord-est
BMW 116 d Sport auto,https://www.automobile.it/alessandria-bmw-116-d-sport-auto/179961425,20700,4,2021,127,automatico,Diesel,116,Sport Line,Middle,116d,Rivenditore,201,alessandria,15121,Piemonte,Nord-ovest
BMW Serie 1 F40 - 116d Msport auto,https://www.automobile.it/san-benedetto-tronto-bmw-serie-1-f40-116d-msport-auto/180695784,20700,5,2020,144,automatico,Diesel,116,M Sport,Sport,116d,Rivenditore,292,san benedetto tronto,63074,Marche,Centro
BMW Serie 1 118i 5p. Advantage NAVI,https://www.automobile.it/varese-bmw-serie-1-118i-5p-advantage-navi/179508111,20800,4,2021,69,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,222,varese,21100,Lombardia,Nord-ovest
Bmw 116d 5p. Business Advantage,https://www.automobile.it/castel-goffredo-bmw-116d-5p-business-advantage/180310190,20800,4,2021,64,automatico,Diesel,116,Advantage,Base,116d,Rivenditore,87,castel goffredo,46042,Lombardia,Nord-ovest
BMW 116 d 5p. Msport,https://www.automobile.it/sassari-bmw-116-d-5p-msport/180719712,20899,5,2020,134,automatico,Diesel,116,M Sport,Sport,116d,Rivenditore,485,sassari,7100,Sardegna,Isole
BMW 116 d 5p. Msport,https://www.automobile.it/cagliari-bmw-116-d-5p-msport/180718794,20899,5,2020,134,automatico,Diesel,116,M Sport,Sport,116d,Rivenditore,628,cagliari,9121,Sardegna,Isole
BMW 116 d 5p. Msport,https://www.automobile.it/palermo-bmw-116-d-5p-msport/180719764,20899,5,2020,134,automatico,Diesel,116,M Sport,Sport,116d,Rivenditore,750,palermo,90121,Sicilia,Isole
BMW 116 d 5p. Msport,https://www.automobile.it/firenze-bmw-116-d-5p-msport/180719474,20899,5,2020,134,automatico,Diesel,116,M Sport,Sport,116d,Rivenditore,99,firenze,50121,Toscana,Centro
BMW 116 d 5p. Msport,https://www.automobile.it/beinasco-bmw-116-d-5p-msport/180718482,20899,5,2020,134,automatico,Diesel,116,M Sport,Sport,116d,Rivenditore,283,beinasco,10092,Piemonte,Nord-ovest
BMW 116 d 5p. Msport,https://www.automobile.it/bari-bmw-116-d-5p-msport/180719597,20899,5,2020,134,automatico,Diesel,116,M Sport,Sport,116d,Rivenditore,611,bari,70121,Puglia,Sud
BMW 116 d 5p. Msport,https://www.automobile.it/bologna-bmw-116-d-5p-msport/180718655,20899,5,2020,134,automatico,Diesel,116,M Sport,Sport,116d,Rivenditore,25,bologna,40121,Emilia-Romagna,Nord-est
BMW 116 d 5p. Msport,https://www.automobile.it/verona-bmw-116-d-5p-msport/180718105,20899,5,2020,134,automatico,Diesel,116,M Sport,Sport,116d,Rivenditore,86,verona,37121,Veneto,Nord-est
BMW 116 d 5p. Msport,https://www.automobile.it/catania-bmw-116-d-5p-msport/180718095,20899,5,2020,134,automatico,Diesel,116,M Sport,Sport,116d,Rivenditore,861,catania,95121,Sicilia,Isole
BMW 116 d 5p. Msport,https://www.automobile.it/collesalvetti-bmw-116-d-5p-msport/180712041,20899,5,2020,134,automatico,Diesel,116,M Sport,Sport,116d,Rivenditore,130,collesalvetti,57014,Toscana,Centro
BMW 118 i 5p. Advantage,https://www.automobile.it/moncalieri-bmw-118-5p-advantage/178255250,20900,4,2021,103,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,275,moncalieri,10024,Piemonte,Nord-ovest
BMW 118 d 5p. Business Advantage,https://www.automobile.it/moncalieri-bmw-118-d-5p-business-advantage/176463903,20900,4,2021,82,automatico,Diesel,150,Advantage,Base,118d,Rivenditore,275,moncalieri,10024,Piemonte,Nord-ovest
