Annuncio,Link,Marca,Modello,Modello_plus_info,Prezzo_scont,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Località
"BMW
116
116d Msport auto",https://www.autoscout24.it/annunci/bmw-116-116d-msport-auto-diesel-bianco-a71c59eb-b9f9-45d7-b608-ac9eb7319e04,BMW,116,116d Msport auto,,€ 25.999,45.000 km,Automatico,11/2020,Diesel,85 kW (116 CV),Responsabile Commerciale • IT-36053 Gambellara - Vicenza
"BMW
118
118d Msport auto LED KAMERA SED. SPORTIVI SHADOW",https://www.autoscout24.it/annunci/bmw-118-118d-msport-auto-led-kamera-sed-sportivi-shadow-diesel-bianco-07e389b0-f2b1-44d4-9aad-0aeadb479591,BMW,118,118d Msport auto LED KAMERA SED. SPORTIVI SHADOW,€ 29.400,,49.500 km,Automatico,08/2022,Diesel,110 kW (150 CV),Luca C. • IT-00132 Roma
"BMW
118
118i 5p. Msport PROMO FLEX",https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-promo-flex-benzina-nero-322dad9f-844e-4abf-9ec1-bd9c6e95fa85,BMW,118,118i 5p. Msport PROMO FLEX,,€ 28.990,9.176 km,Automatico,05/2024,Benzina,100 kW (136 CV),PuntoCar Automobili • IT-10060 Frossasco - To
"BMW
118
i 5p. Business Advantage /Nav/F.Led/ParK /CAR PLAY",https://www.autoscout24.it/annunci/bmw-118-i-5p-business-advantage-nav-f-led-park-car-play-benzina-blu-azzurro-ca8ecb41-7ed2-4cde-b030-411f5a28aa93,BMW,118,i 5p. Business Advantage /Nav/F.Led/ParK /CAR PLAY,,€ 19.400,59.000 km,Automatico,02/2021,Benzina,100 kW (136 CV),Christian bosio • IT-12038 Savigliano - Cuneo - Cn
"BMW
116
- 116d 5p. Msport Automatica",https://www.autoscout24.it/annunci/bmw-116-116d-5p-msport-automatica-diesel-bianco-13275d9e-3b7f-4cf9-9e6f-b396c81f5a79,BMW,116,- 116d 5p. Msport Automatica,,€ 26.550,32.450 km,Automatico,05/2022,Diesel,85 kW (116 CV),Responsabile Vendite • IT-12051 Alba - Cuneo - Cn
,https://www.autoscout24.it/annunci/bmw-120-i-m-sport-led-navi-benzina-bianco-0c2e2aaa-9040-4aa5-afad-c28679735b68,BMW,120,i M-SPORT LED NAVI,,,,,,,,Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR
"BMW
118
i Business Advantage ""18 Msport/Navig/Park/OK NEOP",https://www.autoscout24.it/annunci/bmw-118-i-business-advantage-18-msport-navig-park-ok-neop-benzina-blu-azzurro-5e88bb26-2eae-41b4-857c-92d669dc4c79,BMW,118,"i Business Advantage ""18 Msport/Navig/Park/OK NEOP",,€ 20.400,59.800 km,Automatico,01/2021,Benzina,100 kW (136 CV),Christian bosio • IT-12038 Savigliano - Cuneo - Cn
"BMW
116
116i Msport Exterior auto",https://www.autoscout24.it/annunci/bmw-116-116i-msport-exterior-auto-benzina-nero-5818bfe4-c420-47dc-97fe-6af27f82e4ab,BMW,116,116i Msport Exterior auto,,€ 25.000,33.000 km,Semiautomatico,04/2022,Benzina,80 kW (109 CV),IT-20134 Milano - MI
"BMW
120
120i Msport auto",https://www.autoscout24.it/annunci/bmw-120-120i-msport-auto-benzina-rosso-f5aa534e-8c8e-41e6-bcd9-70792f5e0893,BMW,120,120i Msport auto,,€ 30.000,12.500 km,Automatico,07/2021,Benzina,131 kW (178 CV),Marco Stefano Ignazzi • IT-10038 Verolengo
"BMW
118
118i 5p. Msport",https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-benzina-nero-d2b0b6d8-1045-434c-a9f8-29275967022d,BMW,118,118i 5p. Msport,,€ 27.900,13.000 km,Automatico,12/2022,Benzina,100 kW (136 CV),Automobile Torino • IT-10034 Chivasso - Torino
"BMW
118
118i Msport",https://www.autoscout24.it/annunci/bmw-118-118i-msport-benzina-bianco-9070e5cd-b03b-4a40-bdd1-643a11025d66,BMW,118,118i Msport,,€ 28.500,16.000 km,Semiautomatico,04/2023,Benzina,100 kW (136 CV),Giordano Ghilardi • IT-24060 Gorlago - Bergamo - Bg
"BMW
118
118d LED-CARPLAY-NAVI-KAMERA",https://www.autoscout24.it/annunci/bmw-118-118d-led-carplay-navi-kamera-diesel-bianco-41dc30f2-dc83-4a27-911f-d4aa5cb12515,BMW,118,118d LED-CARPLAY-NAVI-KAMERA,,€ 25.700,11.000 km,Automatico,10/2023,Diesel,110 kW (150 CV),ANTONINO V. • IT-00123 Roma
"BMW
118
BMW 118i M-sport M SPORT Auto PREZZO REALE",https://www.autoscout24.it/annunci/bmw-118-bmw-118i-m-sport-m-sport-auto-prezzo-reale-benzina-bianco-66b21baf-c242-4be2-a60a-ad7bc06c34bc,BMW,118,BMW 118i M-sport M SPORT Auto PREZZO REALE,,€ 25.900,45.000 km,Automatico,09/2021,Benzina,100 kW (136 CV),Mattia Lunghi • IT-23900 Lecco - Lc
"BMW
116
116d 5p. M Sport",https://www.autoscout24.it/annunci/bmw-116-116d-5p-m-sport-diesel-bianco-5337e66b-2f5e-4219-a2b8-92adcf65adf6,BMW,116,116d 5p. M Sport,,€ 28.890,29.448 km,Automatico,02/2024,Diesel,85 kW (116 CV),Stefano Gilardi • IT-20900 Monza - Monza Brianza - Mb
"BMW
116
Serie 1 F40 116i Msport auto",https://www.autoscout24.it/annunci/bmw-116-serie-1-f40-116i-msport-auto-benzina-bianco-8d04ae9d-a5d8-48a9-a93d-55e0d88e6741,BMW,116,Serie 1 F40 116i Msport auto,,€ 25.900,42.786 km,Semiautomatico,05/2023,Benzina,80 kW (109 CV),Alessandro Preganzol • IT-26854 Cornegliano Laudense - Lodi - LO
"BMW
118
118d Msport 5p 150cv auto SERVICE BMW, PERMUTE",https://www.autoscout24.it/annunci/bmw-118-118d-msport-5p-150cv-auto-service-bmw-permute-diesel-nero-e9fe42cd-66f6-435c-bb6e-6047876e3728,BMW,118,"118d Msport 5p 150cv auto SERVICE BMW, PERMUTE",,€ 23.990,68.000 km,Automatico,02/2020,Diesel,110 kW (150 CV),Renato  / Fabio • IT-14100 Asti - At
"BMW
116
- 116d 5p. Business Advantage",https://www.autoscout24.it/annunci/bmw-116-116d-5p-business-advantage-diesel-grigio-209bb1ed-a6b9-4994-b2b0-50424d151963,BMW,116,- 116d 5p. Business Advantage,,€ 21.300,53.772 km,Automatico,05/2021,Diesel,85 kW (116 CV),Fratelli Cozzi • IT-20025 Legnano - Milano - Mi
"BMW
118
i 5p F40 M SPORT VirtualCockpit Automatica Gar",https://www.autoscout24.it/annunci/bmw-118-i-5p-f40-m-sport-virtualcockpit-automatica-gar-benzina-nero-2ab7875c-5e8b-4aac-b496-1fe9b9937b54,BMW,118,i 5p F40 M SPORT VirtualCockpit Automatica Gar,,€ 27.000,5.000 km,Automatico,04/2024,Benzina,100 kW (136 CV),Ufficio Vendite • IT-00178 Roma RM
"BMW
118
118i 5p. Msport",https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-benzina-bianco-a5e00822-a15a-4f8f-83e9-16609dfcfb58,BMW,118,118i 5p. Msport,,€ 22.900,48.500 km,Automatico,05/2021,Benzina,100 kW (136 CV),"Emiliano , • IT-00044 Frascati"
"BMW
116
116d Advantage 36 mesi di garanzia",https://www.autoscout24.it/annunci/bmw-116-116d-advantage-36-mesi-di-garanzia-diesel-grigio-770451d5-90fe-4a43-af1d-62aea29e8780,BMW,116,116d Advantage 36 mesi di garanzia,,€ 18.950,52.000 km,Automatico,01/2020,Diesel,85 kW (116 CV),Vito Cassano • IT-70044 Polignano a Mare - Bari - Ba
"BMW
118
d 5p. Msport",https://www.autoscout24.it/annunci/bmw-118-d-5p-msport-diesel-bianco-1dd8fe0c-1148-4e2a-af57-f04af21779be,BMW,118,d 5p. Msport,,€ 28.900,24.000 km,Automatico,02/2023,Diesel,110 kW (150 CV),Ongarato Motors • IT-30035 Mirano - Venezia - Ve
"BMW
118
d Msport auto",https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-788c885a-5135-4a03-a103-6fa9ba7309d5,BMW,118,d Msport auto,,€ 26.000,18.940 km,Automatico,03/2024,Diesel,110 kW (150 CV),BYmyCAR Sedi: MILANO - SAN DONATO M.SE BYmyCAR Sedi: MILANO - SAN DONATO M.SE • IT-20142 Milano - Mi
"BMW
118
i M-SPORT Steptronic/AUTOMATICA MSport F40",https://www.autoscout24.it/annunci/bmw-118-i-m-sport-steptronic-automatica-msport-f40-benzina-bianco-8fee0b7c-fb4f-4648-bb4b-b8fb14eb8e4f,BMW,118,i M-SPORT Steptronic/AUTOMATICA MSport F40,,€ 28.500,60.000 km,Automatico,06/2022,Benzina,100 kW (136 CV),Sig Paterlini • IT-25062 Concesio - Brescia - Bs
"BMW
118
118d Sport auto white version full",https://www.autoscout24.it/annunci/bmw-118-118d-sport-auto-white-version-full-diesel-bianco-c598f499-b380-47cd-85dd-bc32dd2d946a,BMW,118,118d Sport auto white version full,,€ 24.400,38.000 km,Automatico,07/2020,Diesel,110 kW (150 CV),Fabio Roncella • IT-00141 Roma - Rm
,https://www.autoscout24.it/annunci/bmw-116-116i-msport-exterior-auto-benzina-nero-02baf2ba-80ee-4fe1-9283-a5931f45e389,BMW,116,116i Msport Exterior auto,,,,,,,,Riccardo Checchinato • IT-04100 Latina - Lt
"BMW
118
i Advantage Automatica VARI COLORI E ALLESTIMENTI",https://www.autoscout24.it/annunci/bmw-118-i-advantage-automatica-vari-colori-e-allestimenti-benzina-bianco-20bf782d-276b-4c28-9a84-3accb5da26f3,BMW,118,i Advantage Automatica VARI COLORI E ALLESTIMENTI,,€ 22.500,16.500 km,Automatico,12/2022,Benzina,103 kW (140 CV),Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR
"BMW
118
118d Msport auto",https://www.autoscout24.it/annunci/bmw-118-118d-msport-auto-diesel-bianco-54c66c01-b006-489e-9eb5-a9e864f83841,BMW,118,118d Msport auto,,€ 28.500,48.000 km,Automatico,05/2021,Diesel,110 kW (150 CV),Amedeo Scantamburlo • IT-30037 Scorze' - Venezia - Ve
"BMW
116
D BUSINESS ADVANTAGE KM 28000 FULL tagliandata BMW",https://www.autoscout24.it/annunci/bmw-116-d-business-advantage-km-28000-full-tagliandata-bmw-diesel-bianco-f3a8fa0d-e771-497c-950c-9b71dbef5cbd,BMW,116,D BUSINESS ADVANTAGE KM 28000 FULL tagliandata BMW,,€ 24.900,28.000 km,Automatico,01/2023,Diesel,85 kW (116 CV),Emanuele Casuscelli • IT-22066 Mariano Comense - Como - Co
"BMW
118
118d 5p. M Sport",https://www.autoscout24.it/annunci/bmw-118-118d-5p-m-sport-diesel-grigio-42fe22a5-2089-463a-8255-f4d8a36feb24,BMW,118,118d 5p. M Sport,,€ 28.890,29.402 km,Automatico,03/2022,Diesel,110 kW (150 CV),Stefano Gilardi • IT-20900 Monza - Monza Brianza - Mb
"BMW
118
118d 5p. Msport",https://www.autoscout24.it/annunci/bmw-118-118d-5p-msport-diesel-nero-538e24ff-9437-477b-b3a6-6b8cd16dffd3,BMW,118,118d 5p. Msport,,€ 24.990,57.500 km,Automatico,02/2020,Diesel,110 kW (150 CV),Simone • IT-19136 La Spezia - SP
"BMW
120
120i 5p. Business Advantage",https://www.autoscout24.it/annunci/bmw-120-120i-5p-business-advantage-benzina-blu-azzurro-e769be11-64b1-4095-a69e-6a504ff9fe35,BMW,120,120i 5p. Business Advantage,,€ 25.000,52.000 km,Semiautomatico,03/2021,Benzina,131 kW (178 CV),Angelo Mancini • IT-00040 Pomezia - Roma - Rm
"BMW
118
d Msport auto",https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-grigio-2dbf2517-b575-4f79-81a9-d58c9e47c040,BMW,118,d Msport auto,,€ 28.000,4.310 km,Automatico,04/2024,Diesel,110 kW (150 CV),BYmyCAR Sedi: MILANO - SAN DONATO M.SE BYmyCAR Sedi: MILANO - SAN DONATO M.SE • IT-20142 Milano - Mi
"BMW
116
d 5p. Business Advantage Automatico",https://www.autoscout24.it/annunci/bmw-116-d-5p-business-advantage-automatico-diesel-grigio-b1cae506-c90e-4b95-8d49-7fb39d7a9ac5,BMW,116,d 5p. Business Advantage Automatico,,€ 22.900,58.000 km,Automatico,06/2021,Diesel,85 kW (116 CV),Eros Parin • IT-31050 Albaredo di Vedelago - Tv
"BMW
116
i Msport",https://www.autoscout24.it/annunci/bmw-116-i-msport-benzina-nero-2ec15406-3eff-46b0-9cbc-221c39e2e4cf,BMW,116,i Msport,,€ 25.900,60.030 km,Automatico,06/2022,Benzina,80 kW (109 CV),Nicole Tolomei • IT-41123 Modena - Mo
"BMW
128
128ti 5p. Msport",https://www.autoscout24.it/annunci/bmw-128-128ti-5p-msport-benzina-bianco-c282d448-90f0-406f-860e-4aa919f6dfa2,BMW,128,128ti 5p. Msport,,€ 29.980,63.170 km,Automatico,02/2021,Benzina,195 kW (265 CV),Luigi Parente • IT-40033 Casalecchio di Reno - Bologna - Bo
"BMW
118
d Msport auto",https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-grigio-8c9b102a-5b9b-4a06-a136-542ef3aca716,BMW,118,d Msport auto,,€ 28.000,11.460 km,Automatico,04/2024,Diesel,110 kW (150 CV),BYmyCAR Sedi: MILANO - SAN DONATO M.SE BYmyCAR Sedi: MILANO - SAN DONATO M.SE • IT-20142 Milano - Mi
"BMW
118
i 5p. Advantage IVA ESPOSTA COMPRESA NEL PREZZO!",https://www.autoscout24.it/annunci/bmw-118-i-5p-advantage-iva-esposta-compresa-nel-prezzo-benzina-blu-azzurro-59ca17db-bade-41af-b430-1d3f950f894d,BMW,118,i 5p. Advantage IVA ESPOSTA COMPRESA NEL PREZZO!,,€ 21.500,48.500 km,Automatico,11/2020,Benzina,100 kW (136 CV),Ufficio Vendite • IT-10142 Torino - TO
"BMW
118
d 5p. Msport 3000 EURO OPT!!",https://www.autoscout24.it/annunci/bmw-118-d-5p-msport-3000-euro-opt-diesel-grigio-87a3ff68-e086-4b03-96c3-6a2603a2da99,BMW,118,d 5p. Msport  3000 EURO OPT!!,,€ 27.750,54.635 km,Automatico,07/2021,Diesel,110 kW (150 CV),Corrado Vida • IT-33053 Latisana - Udine
"BMW
118
d Msport auto",https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-3870a6d1-406b-4202-8e78-b2b63ae83dc3,BMW,118,d Msport auto,,€ 26.000,13.141 km,Automatico,04/2024,Diesel,110 kW (150 CV),BYmyCAR Sedi: MILANO - SAN DONATO M.SE BYmyCAR Sedi: MILANO - SAN DONATO M.SE • IT-20142 Milano - Mi
"BMW
116
d Msport auto",https://www.autoscout24.it/annunci/bmw-116-d-msport-auto-diesel-grigio-888735a0-d2ae-4010-835d-02d6ff278437,BMW,116,d Msport auto,,€ 26.900,23.200 km,Automatico,01/2022,Diesel,85 kW (116 CV),BONERA Spa • IT-25135 Brescia
"BMW
118
d Msport auto",https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-blu-azzurro-4a431fb8-05b5-4549-89af-039310a7df5a,BMW,118,d Msport auto,,€ 26.900,53.966 km,Automatico,08/2021,Diesel,110 kW (150 CV),Ezio Frigerio / Fabrizio Carminati • IT-23900 Lecco - Lc
"BMW
125
128ti 5p. Msport",https://www.autoscout24.it/annunci/bmw-125-128ti-5p-msport-benzina-bianco-fb8c0049-ad10-465f-bf59-278b0615fe1e,BMW,125,128ti 5p. Msport,,€ 29.900,65.000 km,Automatico,12/2020,Benzina,195 kW (265 CV),SIgnor E.F. • IT-50142 Firenze
"BMW
116
116d Msport auto (194)",https://www.autoscout24.it/annunci/bmw-116-116d-msport-auto-194-diesel-bianco-2e956411-d428-472a-bf55-47e7bc424fd3,BMW,116,116d Msport auto (194),,€ 24.499,53.772 km,Automatico,05/2020,Diesel,85 kW (116 CV),Titti petraru • IT-50041 Calenzano -  FI
,https://www.autoscout24.it/annunci/bmw-118-118d-5p-m-sport-diesel-blu-azzurro-60472030-ceea-4478-9237-c19e214c76cb,BMW,118,118d 5p. M sport,,,,,,,,Jacopo Corsaro • IT-10142 Torino - To
"BMW
118
118d Msport auto",https://www.autoscout24.it/annunci/bmw-118-118d-msport-auto-diesel-grigio-007d3184-24b9-4553-8c66-1a27ace6ba74,BMW,118,118d Msport auto,,€ 29.900,26.800 km,Automatico,12/2022,Diesel,110 kW (150 CV),Marco Stefano Ignazzi • IT-10038 Verolengo
"BMW
118
118i Msport 136cv auto",https://www.autoscout24.it/annunci/bmw-118-118i-msport-136cv-auto-benzina-bianco-c7b80759-d194-4294-9e10-a86c5642eea0,BMW,118,118i Msport 136cv auto,,€ 27.900,10.000 km,Automatico,06/2024,Benzina,100 kW (136 CV),Emanuela Zago • IT-22073 Fino Mornasco - Como - CO
"BMW
116
116d ColorVision Edition UNIPRO OTTIMA PER NEOPATE",https://www.autoscout24.it/annunci/bmw-116-116d-colorvision-edition-unipro-ottima-per-neopate-diesel-6f315f6b-7b4c-4896-a83e-1143545a9690,BMW,116,116d ColorVision Edition UNIPRO OTTIMA PER NEOPATE,,€ 24.000,57.000 km,Automatico,12/2022,Diesel,85 kW (116 CV),Cristiano Di Nuzzo • IT-04100 Latina - LT
"BMW
116
D Advantage 115CV",https://www.autoscout24.it/annunci/bmw-116-d-advantage-115cv-diesel-nero-5e1533d4-cbf4-48f8-a996-1feaa7928262,BMW,116,D Advantage 115CV,,€ 21.900,44.536 km,Automatico,04/2021,Diesel,85 kW (116 CV),Luca Calabrò • IT-56028 San Miniato (PI)
"BMW
118
d Msport auto",https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-04145da0-97bc-4f67-ad75-dad4f102313d,BMW,118,d Msport auto,,€ 26.000,14.965 km,Automatico,05/2024,Diesel,110 kW (150 CV),BYmyCAR Sedi: MILANO - SAN DONATO M.SE BYmyCAR Sedi: MILANO - SAN DONATO M.SE • IT-20142 Milano - Mi
"BMW
118
118i Msport 136cv auto",https://www.autoscout24.it/annunci/bmw-118-118i-msport-136cv-auto-benzina-grigio-949d7ab4-1b72-4d4a-9707-fa0dd0fc634d,BMW,118,118i Msport 136cv auto,€ 31.950,,23.688 km,Automatico,04/2024,Benzina,100 kW (136 CV),Andrea Borin • IT-20090 Pieve Emanuele - Milano - Mi
"BMW
118
BUSINESS ADVANTAGE 136cv Navigatore+Sensori Led",https://www.autoscout24.it/annunci/bmw-118-business-advantage-136cv-navigatore-sensori-led-benzina-bianco-9c3e9786-75b8-4c12-a3f7-4d719ff249ad,BMW,118,BUSINESS ADVANTAGE 136cv Navigatore+Sensori Led,,€ 22.700,55.000 km,Semiautomatico,03/2022,Benzina,100 kW (136 CV),Andrea Grego • IT-00060 Capena - Roma
"BMW
118
118d Business Advantage auto",https://www.autoscout24.it/annunci/bmw-118-118d-business-advantage-auto-diesel-nero-0b8fe152-455d-4cb7-a1b9-c23f921a2f2a,BMW,118,118d Business Advantage auto,,€ 25.900,60.182 km,Automatico,02/2023,Diesel,110 kW (150 CV),Danilo Manni • IT-03100 Frosinone - Fr
"BMW
118
d Msport auto",https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-nero-ff935a60-cee2-496c-b4d2-1299d4f5f027,BMW,118,d Msport auto,,€ 26.000,13.672 km,Automatico,04/2024,Diesel,110 kW (150 CV),BYmyCAR Sedi: MILANO - SAN DONATO M.SE BYmyCAR Sedi: MILANO - SAN DONATO M.SE • IT-20142 Milano - Mi
"BMW
118
118i Msport VARI COLORI E ALLESTIMENTI DISPONIBILI",https://www.autoscout24.it/annunci/bmw-118-118i-msport-vari-colori-e-allestimenti-disponibili-benzina-blu-azzurro-47361c48-7da2-4da9-bae8-3f2dab289e15,BMW,118,118i Msport VARI COLORI E ALLESTIMENTI DISPONIBILI,,€ 26.500,18.700 km,Automatico,10/2022,Benzina,100 kW (136 CV),Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR
"BMW
116
d Msport auto",https://www.autoscout24.it/annunci/bmw-116-d-msport-auto-diesel-bianco-331a7afd-40fd-4754-a9f6-0f836b3658bf,BMW,116,d Msport auto,,€ 26.300,65.405 km,Automatico,05/2022,Diesel,85 kW (116 CV),BONERA Spa • IT-25135 Brescia
BMW118BENZINA Serie 1       (F40)  5p. M sport,https://www.autoscout24.it/annunci/bmw-118-benzina-serie-1-f40-5p-m-sport-benzina-bianco-25b431fc-f21a-423e-b177-bdb57391a541,BMW,118,BENZINA Serie 1       (F40)  5p. M sport,,€ 28.900,11.000 km,Automatico,06/2023,Benzina,100 kW (136 CV),Marco • IT-55016 Porcari - Lucca - LU
"BMW
118
118d 5p. M Sport",https://www.autoscout24.it/annunci/bmw-118-118d-5p-m-sport-diesel-grigio-3e5c1a36-3bd0-46ae-b1da-9c25a22c9a3e,BMW,118,118d 5p. M Sport,,€ 27.960,53.481 km,Automatico,06/2021,Diesel,110 kW (150 CV),Diego Amoroso • IT-21047 Saronno - Varese - VA
"BMW
118
118i Sport 140cv M-Sport F40",https://www.autoscout24.it/annunci/bmw-118-118i-sport-140cv-m-sport-f40-benzina-nero-2ceb6cbe-8c9c-47f2-a8ce-c5203ac5ba2c,BMW,118,118i Sport 140cv M-Sport F40,,€ 23.900,59.800 km,Automatico,09/2020,Benzina,103 kW (140 CV),Move Commercial • IT-30173 Venezia - VE
"BMW
118
118i Msport 136cv auto Shadow line 2021 17""",https://www.autoscout24.it/annunci/bmw-118-118i-msport-136cv-auto-shadow-line-2021-17-benzina-nero-a3c78a90-3e7c-4def-9ff1-fe1812ecfcfc,BMW,118,"118i Msport 136cv auto Shadow line 2021 17""",,€ 23.990,53.028 km,Automatico,10/2021,Benzina,100 kW (136 CV),Mirko Portaccio • IT-00077 Montecompatri - Roma - RM
"BMW
118
118d 5p. Advantage",https://www.autoscout24.it/annunci/bmw-118-118d-5p-advantage-diesel-blu-azzurro-95d745d7-3782-4dfb-b00c-f9d304a34935,BMW,118,118d 5p. Advantage,,€ 25.900,25.100 km,Automatico,03/2023,Diesel,110 kW (150 CV),ANGELO PRETE • IT-72018 San Michele Salentino - Brindisi - Br
"BMW
116
d 5p. Business Advantage",https://www.autoscout24.it/annunci/bmw-116-d-5p-business-advantage-diesel-nero-31c1441f-a252-4f42-86b4-34ef8604fc64,BMW,116,d 5p. Business Advantage,,€ 21.800,45.175 km,Automatico,04/2021,Diesel,85 kW (116 CV),Pietro Lorusso • IT-40055 Villanova - Bo
"BMW
116
116d Business Advantage Automatica",https://www.autoscout24.it/annunci/bmw-116-116d-business-advantage-automatica-diesel-bianco-cca338e4-c8a4-452f-8e7d-5bff2e0a703b,BMW,116,116d Business Advantage Automatica,,€ 25.500,38.000 km,Automatico,06/2023,Diesel,85 kW (116 CV),Alessandro Pavesi - Cesare Dastoli • IT-26010 Cremosano - Crema - Cr
,https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-auto-benzina-grigio-78a5291c-cc72-4ae6-ae05-05e3140cd350,BMW,118,118i 5p. Msport Auto.,,,,,,,,Responsabile Usato Fassina • IT-20157 Milano - Mi
"BMW
118
i Msport 136cv auto",https://www.autoscout24.it/annunci/bmw-118-i-msport-136cv-auto-benzina-grigio-55cf12d4-7949-4825-a48d-1894325c242f,BMW,118,i Msport 136cv auto,,€ 25.790,41.856 km,Automatico,03/2021,Benzina,100 kW (136 CV),BMW Roma • IT-00138 Roma - Rm
"BMW
116
d Msport auto",https://www.autoscout24.it/annunci/bmw-116-d-msport-auto-diesel-nero-c629a832-8e66-4f9e-b93b-2875971ce44c,BMW,116,d Msport auto,,€ 28.900,61.599 km,Automatico,05/2021,Diesel,85 kW (116 CV),IT-66020 San Giovanni Teatino - Sambuceto - Chieti - Ch
"BMW
118
d Msport auto",https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-bianco-75cfe738-3999-4ee4-9292-a42a580b2385,BMW,118,d Msport auto,,€ 28.000,2.862 km,Automatico,03/2024,Diesel,110 kW (150 CV),BYmyCAR Sedi: MILANO - SAN DONATO M.SE BYmyCAR Sedi: MILANO - SAN DONATO M.SE • IT-20142 Milano - Mi
BMW120120i Msport M  M SPORT   AZIENDALE BMW,https://www.autoscout24.it/annunci/bmw-120-120i-msport-m-m-sport-aziendale-bmw-benzina-nero-18333277-256b-4d16-b0db-7c3a3d3ffcd5,BMW,120,120i Msport M  M SPORT   AZIENDALE BMW,,€ 26.490,34.000 km,Automatico,10/2021,Benzina,131 kW (178 CV),1P Auto S.r.l • IT-00175 Roma - Rm
"BMW
120
120d Msport auto",https://www.autoscout24.it/annunci/bmw-120-120d-msport-auto-diesel-grigio-caf231f0-1216-4a2f-a66a-d20c1f47e509,BMW,120,120d Msport auto,,€ 27.900,46.000 km,Automatico,06/2020,Diesel,140 kW (190 CV),Marco Liera • IT-60035 Jesi - An
"BMW
118
d 5p. M Sport",https://www.autoscout24.it/annunci/bmw-118-d-5p-m-sport-diesel-nero-d747d8bc-3c91-4f8c-977c-259457db14e6,BMW,118,d 5p. M Sport,,€ 27.600,55.000 km,Automatico,10/2021,Diesel,110 kW (150 CV),Alessandra Guglielmi • IT-03036 Isola del Liri - FR
"BMW
118
118d Business Advantage Auto Navi Uniprò",https://www.autoscout24.it/annunci/bmw-118-118d-business-advantage-auto-navi-unipro-diesel-95c7b102-53e8-470e-93b4-8486cad2bd5a,BMW,118,118d Business Advantage Auto Navi Uniprò,,€ 22.490,61.000 km,Automatico,01/2022,Diesel,110 kW (150 CV),Alex Mancini • IT-00156 Roma - RM
"BMW
116
116d 5p. Msport",https://www.autoscout24.it/annunci/bmw-116-116d-5p-msport-diesel-nero-7942540d-5986-45e4-a6de-3df92fb1c0cb,BMW,116,116d 5p. Msport,,€ 24.900,67.843 km,Automatico,07/2021,Diesel,85 kW (116 CV),Luca Zingales • IT-20832 Desio - Monza Brianza - Mb
"BMW
118
118i Msport",https://www.autoscout24.it/annunci/bmw-118-118i-msport-benzina-grigio-6cc58afb-0f88-451b-a537-6c6ac902fb7b,BMW,118,118i Msport,,€ 23.999,46.422 km,Automatico,09/2020,Benzina,103 kW (140 CV),Centro di consegna • IT-40131 Bologna
"BMW
118
i 5p. Advantage DCT",https://www.autoscout24.it/annunci/bmw-118-i-5p-advantage-dct-benzina-nero-c331eb11-a180-444d-9962-dd19ad8b8d4b,BMW,118,i 5p. Advantage DCT,,€ 24.900,57.700 km,Automatico,05/2023,Benzina,100 kW (136 CV),Masiero Dario - Federico Doria • IT-31023 Resana - Treviso - Tv
"BMW
118
d Msport auto",https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-bianco-cbf47d71-d700-4694-818d-8a2bbbf9cc5d,BMW,118,d Msport auto,,€ 26.000,12.881 km,Automatico,04/2024,Diesel,110 kW (150 CV),BYmyCAR Sedi: MILANO - SAN DONATO M.SE BYmyCAR Sedi: MILANO - SAN DONATO M.SE • IT-20142 Milano - Mi
"BMW
118
d Msport auto",https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-nero-133e22d8-c097-4095-9514-637e91bdb138,BMW,118,d Msport auto,,€ 28.000,9.701 km,Automatico,04/2024,Diesel,110 kW (150 CV),BYmyCAR Sedi: MILANO - SAN DONATO M.SE BYmyCAR Sedi: MILANO - SAN DONATO M.SE • IT-20142 Milano - Mi
"BMW
116
i Msport",https://www.autoscout24.it/annunci/bmw-116-i-msport-benzina-bianco-7656087b-bea4-46a9-a51f-9aac70d11c6c,BMW,116,i Msport,,€ 27.400,31.104 km,Automatico,04/2023,Benzina,80 kW (109 CV),Nicole Tolomei • IT-41123 Modena - Mo
