Annuncio,Modello,Link,Link2,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,Tipologia,CV,Località,Venditore
"Mercedes-Benz Classe A - 48V 5p. MSport Pro tua da ?419,00","BMW Serie 1 120
48V 5p. MSport Pro tua da ?419,00",https://autosupermarket.it/annunci/bmw-serie-1-120-ibrida-2025-4287bb73ed070c9a?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D7,https://autosupermarket.it/annunci/bmw-serie-1-120-ibrida-2025-4287bb73ed070c9a?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D7, 42.500 €,1 km ,Aut. 7 marce ,"Gen, 2025",Ibrida,Nuova,125kW (170CV) ,,
"Mercedes-Benz Classe A - d 5p. MSport Pro tua da ?439,00 mensili","BMW Serie 1 118d
d 5p. MSport Pro tua da ?439,00 mensili",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2025-d6893de39bd4f13f?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D7,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2025-d6893de39bd4f13f?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D7, 43.900 €,1 km ,Aut. 7 marce ,"Gen, 2025",Diesel,Nuova,110kW (150CV) ,,
Mercedes-Benz Classe A - M 135i 300cv xDrive MSport Pro,"BMW Serie 1 135
M 135i 300cv xDrive MSport Pro",https://autosupermarket.it/annunci/bmw-serie-1-135-benzina-2024-b6708bbb2123aca3?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D7,https://autosupermarket.it/annunci/bmw-serie-1-135-benzina-2024-b6708bbb2123aca3?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D7, 40.990 €,11.814 km ,Aut. 7 marce ,"Lug, 2024",Benzina,Usata,221kW (301CV) ,,
Mercedes-Benz Classe A - d Business Advantage 5 Porte,"BMW Serie 1 118d
d Business Advantage 5 Porte",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2020-17e856f017d3f3af?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D7,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2020-17e856f017d3f3af?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D7, 18.900 €,127.013 km ,Man. 6 marce ,"Lug, 2020",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A - i 5p. Advantage,"BMW Serie 1 118i
i 5p. Advantage",https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2020-0a4338c1c248c0b9?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D7,https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2020-0a4338c1c248c0b9?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D7, 20.300 €,47.000 km ,Man. 6 marce ,"Ago, 2020",Benzina,Usata,103kW (141CV) ,,
Mercedes-Benz Classe A - i 5p. Msport,"BMW Serie 1 120i
i 5p. Msport",https://autosupermarket.it/annunci/bmw-serie-1-120i-benzina-2023-02af0af7f2cd9464?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D7,https://autosupermarket.it/annunci/bmw-serie-1-120i-benzina-2023-02af0af7f2cd9464?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D7, 38.900 €,10.000 km ,Aut. 7 marce ,"Mag, 2023",Benzina,Usata,131kW (179CV) ,,
Mercedes-Benz Classe A - d 5p. Advantage * GARANZIA *,"BMW Serie 1 118d
d 5p. Advantage * GARANZIA *",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2020-74cd776f07409860?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D7,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2020-74cd776f07409860?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D7, 18.900 €,66.500 km ,Man. 6 marce ,"Feb, 2020",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A - 116i 5p. Msport AUTOMATICA,"BMW Serie 1 116i
116i 5p. Msport AUTOMATICA",https://autosupermarket.it/annunci/bmw-serie-1-116i-benzina-2021-82a975bf452c3cb1?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D7,https://autosupermarket.it/annunci/bmw-serie-1-116i-benzina-2021-82a975bf452c3cb1?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D7, 23.950 €,60.000 km ,Man. 6 marce ,"Gen, 2021",Benzina,Usata,80kW (109CV) ,,
Mercedes-Benz Classe A - d 5p.,"BMW Serie 1 118d
d 5p.",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2021-99d58e7f8caf2af1?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D7,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2021-99d58e7f8caf2af1?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D7, 22.490 €,40.700 km ,Man. 6 marce ,"Apr, 2021",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A - d AUT 5p. M Sport F40 TETTO PANORAMICO,"BMW Serie 1 118d
d AUT 5p. M Sport F40 TETTO PANORAMICO",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2022-12ba80c603bb5280?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2022-12ba80c603bb5280?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8, 22.227 €,79.130 km ,Aut. 8 marce ,"Lug, 2022",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A - d 5p. Msport M sport,"BMW Serie 1 118d
d 5p. Msport M sport",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2023-f0279ce89b94d941?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2023-f0279ce89b94d941?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8, 33.900 €,22.000 km ,Aut. 8 marce ,"Mar, 2023",Diesel,Usata,140kW (191CV) ,,
Mercedes-Benz Classe A - i 5p AUT M SPORT F40 VIRTUAL COCKPIT,"BMW Serie 1 118i
i 5p AUT M SPORT F40 VIRTUAL COCKPIT",https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2022-b5cdef66acfe337d?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8,https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2022-b5cdef66acfe337d?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8, 23.000 €,82.600 km ,Aut. 8 marce ,"Mag, 2022",Benzina,Usata,100kW (136CV) ,,
Mercedes-Benz Classe A - Serie 1 F40 - d xdrive Msport auto,"BMW Serie 1 M
Serie 1 F40 - d xdrive Msport auto",https://autosupermarket.it/annunci/bmw-serie-1-m-diesel-2023-150515c07156caa4?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8,https://autosupermarket.it/annunci/bmw-serie-1-m-diesel-2023-150515c07156caa4?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8, 38.500 €,26.368 km ,Aut. ,"Lug, 2023",Diesel,Usata,140kW (191CV) ,,
Mercedes-Benz Classe A - d 5p Business Advantage,"BMW Serie 1 116d
d 5p Business Advantage",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2020-f93c77791aca6c94?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2020-f93c77791aca6c94?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8, 20.900 €,44.000 km ,Man. 6 marce ,"Set, 2020",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - d Sport,"BMW Serie 1 116d
d Sport",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2021-fc6394602d8f7791?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2021-fc6394602d8f7791?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8, 18.800 €,147.080 km ,Man. 6 marce ,"Feb, 2021",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - d 5p. Msport,"BMW Serie 1 120d
d 5p. Msport",https://autosupermarket.it/annunci/bmw-serie-1-120d-diesel-2023-bf68bbe232544752?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8,https://autosupermarket.it/annunci/bmw-serie-1-120d-diesel-2023-bf68bbe232544752?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8, 36.900 €,26.000 km ,Aut. 8 marce ,"Mag, 2023",Diesel,Usata,140kW (191CV) ,,
Mercedes-Benz Classe A - F40 118d Msport,"BMW Serie 1 118d
F40 118d Msport",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-e67c16f0a7f3fda3?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-e67c16f0a7f3fda3?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8, 33.700 €,18.636 km ,Man. 6 marce ,"Apr, 2024",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A - d 5p. Msport M sport,"BMW Serie 1 118d
d 5p. Msport M sport",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2022-4a91b7a3be6b42fc?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2022-4a91b7a3be6b42fc?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8, 31.900 €,22.000 km ,Aut. 8 marce ,"Lug, 2024",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A - i 5p. M Sport Virtual cockpit Bmw,"BMW Serie 1 118i
i 5p. M Sport Virtual cockpit Bmw",https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2021-d2fa0c0c11392e38?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8,https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2021-d2fa0c0c11392e38?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8, 19.999 €,34.000 km ,Man. 6 marce ,"Nov, 2021",Benzina,Usata,100kW (136CV) ,,
Mercedes-Benz Classe A - d 5p. Msport M sport,"BMW Serie 1 120d
d 5p. Msport M sport",https://autosupermarket.it/annunci/bmw-serie-1-120d-diesel-2023-dcd4b6dd07c72d85?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8,https://autosupermarket.it/annunci/bmw-serie-1-120d-diesel-2023-dcd4b6dd07c72d85?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8, 32.900 €,19.000 km ,Aut. 8 marce ,"Gen, 2023",Diesel,Usata,140kW (191CV) ,,
Mercedes-Benz Classe A - d 5p. Msport CAMBIO AUTOMATICO,"BMW Serie 1 118d
d 5p. Msport CAMBIO AUTOMATICO",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2021-ead9a9eb0aebb4d8?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2021-ead9a9eb0aebb4d8?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8,"26.900 €
    
    
    

- 4% 26.000 €",64.023 km ,Aut. 8 marce ,"Lug, 2021",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A - d Msport Finanziabile & Garantita,"BMW Serie 1 116d
d Msport Finanziabile & Garantita",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2022-095eaa3e1633e5e1?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2022-095eaa3e1633e5e1?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8,"29.750 €
    
    
    

- 11% 26.490 €",12.000 km ,Man. 6 marce ,"Nov, 2022",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - D Business Advantage AUT EU6,"BMW Serie 1 118d
D Business Advantage AUT EU6",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2021-fecad6ec986aec35?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2021-fecad6ec986aec35?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8, 23.500 €,69.600 km ,Aut. ,"Gen, 2021",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A - F40 118d Msport,"BMW Serie 1 118d
F40 118d Msport",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-fba982c251817a95?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-fba982c251817a95?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8, 33.700 €,18.196 km ,Man. 6 marce ,"Mag, 2024",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A - 116d 3p. Advantage,"BMW Serie 1 116d
116d 3p. Advantage",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2025-0a60813833602930?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2025-0a60813833602930?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D8, 24.990 €,25.785 km ,Man. 6 marce ,"Gen, 2025",Diesel,Usata,63kW (86CV) ,,
Mercedes-Benz Classe A - i 5p. M Sport Virtual Cockpit + Shadow line,"BMW Serie 1 118i
i 5p. M Sport Virtual Cockpit + Shadow line",https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2021-a2708b672da61d84?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9,https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2021-a2708b672da61d84?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9, 17.277 €,44.000 km ,Man. 6 marce ,"Lug, 2021",Benzina,Usata,100kW (136CV) ,,
Mercedes-Benz Classe A - d 5p. Business Advantage,"BMW Serie 1 116d
d 5p. Business Advantage",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2020-65d5d89331b7cb1b?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2020-65d5d89331b7cb1b?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9, 16.990 €,128.000 km ,Man. 6 marce ,"Ott, 2020",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - Serie 1 F40 - d Msport auto,"BMW Serie 1 M
Serie 1 F40 - d Msport auto",https://autosupermarket.it/annunci/bmw-serie-1-m-diesel-2024-f2b37d9b3e6f85d0?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9,https://autosupermarket.it/annunci/bmw-serie-1-m-diesel-2024-f2b37d9b3e6f85d0?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9, 34.800 €,18.168 km ,Aut. ,"Feb, 2024",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A - d 5p. Msport,"BMW Serie 1 118d
d 5p. Msport",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2020-bee3b1a864436b10?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2020-bee3b1a864436b10?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9, 25.900 €,52.000 km ,Man. 6 marce ,"Ott, 2020",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A - BMW SERIE 1 116d Business Advantage Autom. 5 PORTE,"BMW Serie 1 116d
BMW SERIE 1 116d Business Advantage Autom. 5 PORTE",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2021-1fcdf9825feef0a4?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2021-1fcdf9825feef0a4?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9, 18.500 €,113.260 km ,Aut. ,"Mar, 2021",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - d DCT Sport Automatica,"BMW Serie 1 116d
d DCT Sport Automatica",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2022-ea446b5b6bea0722?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2022-ea446b5b6bea0722?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9, 24.900 €,49.666 km ,Aut. 7 marce ,"Gen, 2022",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - d 5p. Msport auto UNI PROPRIETARIO,"BMW Serie 1 116d
d 5p. Msport auto UNI PROPRIETARIO",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2020-90bd340b48cbef47?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2020-90bd340b48cbef47?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9, 24.999 €,32.000 km ,Aut. 8 marce ,"Ott, 2020",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - d xDrive 5p. Advantage - IVA ESPOSTA,"BMW Serie 1 120d
d xDrive 5p. Advantage - IVA ESPOSTA",https://autosupermarket.it/annunci/bmw-serie-1-120d-diesel-2021-04d5906a83e9a392?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9,https://autosupermarket.it/annunci/bmw-serie-1-120d-diesel-2021-04d5906a83e9a392?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9, 18.900 €,143.000 km ,Aut. 8 marce ,"Giu, 2021",Diesel,Usata,140kW (191CV) ,,
Mercedes-Benz Classe A - 116 116d 5p. Business Advantage,"BMW Serie 1 116d
116 116d 5p. Business Advantage",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2020-8c63b5f98049d862?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2020-8c63b5f98049d862?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9, 18.899 €,112.784 km ,Aut. 6 marce ,"Nov, 2020",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - Serie 1 F40 - d Sport auto,"BMW Serie 1 116i
Serie 1 F40 - d Sport auto",https://autosupermarket.it/annunci/bmw-serie-1-116i-diesel-2021-d2e21fc5957ba068?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9,https://autosupermarket.it/annunci/bmw-serie-1-116i-diesel-2021-d2e21fc5957ba068?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9, 23.900 €,75.388 km ,Aut. ,"Set, 2021",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - d 5p. Msport,"BMW Serie 1 120d
d 5p. Msport",https://autosupermarket.it/annunci/bmw-serie-1-120d-diesel-2020-be2bf4e125f551f0?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9,https://autosupermarket.it/annunci/bmw-serie-1-120d-diesel-2020-be2bf4e125f551f0?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9, 24.990 €,86.000 km ,Aut. 8 marce ,"Giu, 2020",Diesel,Usata,140kW (191CV) ,,
Mercedes-Benz Classe A - 116d 5p. Msport,"BMW Serie 1 116d
116d 5p. Msport",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2020-1b0a1a3d20e4529a?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2020-1b0a1a3d20e4529a?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9, 23.500 €,125.000 km ,Aut. 6 marce ,"Lug, 2020",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - d 5p. Msport Automatic,"BMW Serie 1 116d
d 5p. Msport Automatic",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2020-e1b820a9c7f0cc3f?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2020-e1b820a9c7f0cc3f?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9, 24.800 €,97.000 km ,Man. 6 marce ,"Dic, 2020",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - 116d SPORT LINE,"BMW Serie 1 116d
116d SPORT LINE",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2020-13e6d5325e5c5032?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2020-13e6d5325e5c5032?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9,"21.500 €
    
    
    

- 3% 20.900 €",103.561 km ,Aut. 6 marce ,"Ago, 2020",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - d 5p. Msport M sport,"BMW Serie 1 120d
d 5p. Msport M sport",https://autosupermarket.it/annunci/bmw-serie-1-120d-diesel-2023-e43c80c34c5f3215?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9,https://autosupermarket.it/annunci/bmw-serie-1-120d-diesel-2023-e43c80c34c5f3215?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9, 34.900 €,15.000 km ,Aut. 8 marce ,"Giu, 2023",Diesel,Usata,140kW (191CV) ,,
Mercedes-Benz Classe A - D 5 Porte Sport AUT EU6,"BMW Serie 1 135i
D 5 Porte Sport AUT EU6",https://autosupermarket.it/annunci/bmw-serie-1-135i-diesel-2021-bfa245af9052011b?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9,https://autosupermarket.it/annunci/bmw-serie-1-135i-diesel-2021-bfa245af9052011b?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D9, 24.900 €,86.400 km ,Aut. ,"Mag, 2021",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - D MSPORT IVA AUTO NAVI LED C17 CRUISE CARPLAY,"BMW Serie 1 118d
D MSPORT IVA AUTO NAVI LED C17 CRUISE CARPLAY",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-3900e833f6747665?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D10,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-3900e833f6747665?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D10, 31.800 €,28.900 km ,Aut. 8 marce ,"Feb, 2024",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A - d 5p. Msport - IVA ESPOSTA,"BMW Serie 1 118d
d 5p. Msport - IVA ESPOSTA",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2021-9ab8c6bc8b0c6fa0?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D10,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2021-9ab8c6bc8b0c6fa0?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D10, 21.900 €,140.000 km ,Aut. 8 marce ,"Nov, 2021",Diesel,Usata,110kW (150CV) ,,
Mercedes-Benz Classe A - Serie 1 F40 - d Msport auto,"BMW Serie 1 M
Serie 1 F40 - d Msport auto",https://autosupermarket.it/annunci/bmw-serie-1-m-diesel-2020-37b2e180c1b492ef?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D10,https://autosupermarket.it/annunci/bmw-serie-1-m-diesel-2020-37b2e180c1b492ef?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D10, 22.500 €,114.072 km ,Aut. ,"Set, 2020",Diesel,Usata,85kW (116CV) ,,
Mercedes-Benz Classe A - i 5p. Advantage Virtual cockpit garanzia,"BMW Serie 1 118i
i 5p. Advantage Virtual cockpit garanzia",https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2021-9cbfaba5ec3cced7?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D10,https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2021-9cbfaba5ec3cced7?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D10, 14.955 €,46.648 km ,Man. 6 marce ,"Lug, 2021",Benzina,Usata,100kW (136CV) ,,
