Annuncio,Modello,Link,Link2,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,Tipologia,CV,Località,Località2,Venditore
"Audi A3
SPB 35 TFSI S tronic S line edition",SPB 35 TFSI S tronic S line edition,https://autosupermarket.it/annunci/audi-a3-35-tfsi-ibrida-2023-1097cde9551b0d9b?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D14,https://autosupermarket.it/annunci/audi-a3-35-tfsi-ibrida-2023-1097cde9551b0d9b?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D14, 31.500 €,25.400 km ,Aut. 7 marce ,"Feb, 2023",Ibrida,Usata,110kW (150CV) ,10040 Leini (TO),,AUTOSPORT S.R.L.
"Audi A3
SPB 35 TDI S line edition",SPB 35 TDI S line edition,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2023-f67366d5ec593d32?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D14,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2023-f67366d5ec593d32?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D14, 26.790 €,27.160 km ,Aut. 8 marce ,"Lug, 2023",Diesel,Usata,110kW (150CV) ,,00178 Roma (RM),
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Audi A3
A3 Sedan 30 TDI Business Advanced",A3 Sedan 30 TDI Business Advanced,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2022-0966c1a4a89fd821?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2022-0966c1a4a89fd821?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15, 26.800 €,43.419 km ,Man. 6 marce ,"Dic, 2022",Diesel,Usata,85kW (116CV) ,,72018 San Michele Salentino (BR),
"Audi A3
SPB 35 TFSI S tronic Business",SPB 35 TFSI S tronic Business,https://autosupermarket.it/annunci/audi-a3-35-tfsi-ibrida-2022-f46c8356c51f6a64?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15,https://autosupermarket.it/annunci/audi-a3-35-tfsi-ibrida-2022-f46c8356c51f6a64?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15, 26.800 €,32.900 km ,Aut. 7 marce ,"Gen, 2022",Ibrida,Usata,110kW (150CV) ,,20060 Truccazzano (MI),
"Audi A3
SPB 35 TFSI S tronic Business",SPB 35 TFSI S tronic Business,https://autosupermarket.it/annunci/audi-a3-35-tfsi-benzina-2022-8a11ccf3c4353f73?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15,https://autosupermarket.it/annunci/audi-a3-35-tfsi-benzina-2022-8a11ccf3c4353f73?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15, 26.800 €,32.900 km ,Aut. 7 marce ,"Gen, 2022",Benzina,Usata,110kW (150CV) ,,20060 Truccazzano (MI),
"Audi A3
SPB 35 TFSI 150CV LED, CARPLAY, VIRTUAL COCKPIT","SPB 35 TFSI 150CV LED, CARPLAY, VIRTUAL COCKPIT",https://autosupermarket.it/annunci/audi-a3-35-tfsi-benzina-2023-4644df3c2fa96473?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15,https://autosupermarket.it/annunci/audi-a3-35-tfsi-benzina-2023-4644df3c2fa96473?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15, 26.800 €,15.900 km ,Man. 6 marce ,"Feb, 2023",Benzina,Usata,110kW (150CV) ,,20060 Truccazzano (MI),
Audi A3  - a3 sportback 30 1.0 tfsi mhev business s-tronic, - a3 sportback 30 1.0 tfsi mhev business s-tronic,https://autosupermarket.it/annunci/audi-a3-1-0-tfsi-ibrida-2022-f17b38cb818fa201?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15,https://autosupermarket.it/annunci/audi-a3-1-0-tfsi-ibrida-2022-f17b38cb818fa201?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15, 26.800 €,45.518 km ,Aut. ,"Ott, 2022",Ibrida,Usata,81kW (111CV) ,,20126 Milano (MI),
Audi A3  - a3 sportback 35 1.5 tfsi business advanced, - a3 sportback 35 1.5 tfsi business advanced,https://autosupermarket.it/annunci/audi-a3-1-5-tfsi-benzina-2022-7cbeb117898a9b3f?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15,https://autosupermarket.it/annunci/audi-a3-1-5-tfsi-benzina-2022-7cbeb117898a9b3f?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15, 26.800 €,36.117 km ,Man. ,"Ago, 2022",Benzina,Usata,110kW (150CV) ,,20126 Milano (MI),
,,,,,,,,,,,,,
Audi A3  - a3 sportback 35 1.5 tfsi mhev business advanced s-tronic, - a3 sportback 35 1.5 tfsi mhev business advanced s-tronic,https://autosupermarket.it/annunci/audi-a3-1-5-tfsi-ibrida-2020-a6771b473b04c6ad?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15,https://autosupermarket.it/annunci/audi-a3-1-5-tfsi-ibrida-2020-a6771b473b04c6ad?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15, 26.800 €,62.749 km ,Aut. ,"Nov, 2020",Ibrida,Usata,110kW (150CV) ,,20126 Milano (MI),
Audi A3  - a3 sportback 30 1.0 tfsi mhev business s-tronic, - a3 sportback 30 1.0 tfsi mhev business s-tronic,https://autosupermarket.it/annunci/audi-a3-1-0-tfsi-ibrida-2022-addb5466540c663b?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15,https://autosupermarket.it/annunci/audi-a3-1-0-tfsi-ibrida-2022-addb5466540c663b?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15, 26.800 €,31.048 km ,Aut. ,"Set, 2022",Ibrida,Usata,81kW (111CV) ,,20126 Milano (MI),
"Audi A3
A3 Sportback 30 2.0 tdi Business Advanced",A3 Sportback 30 2.0 tdi Business Advanced,https://autosupermarket.it/annunci/audi-a3-2-0-diesel-2024-b153b6ec7c7b4aeb?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15,https://autosupermarket.it/annunci/audi-a3-2-0-diesel-2024-b153b6ec7c7b4aeb?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15, 31.600 €,17.002 km ,Man. 6 marce ,"Apr, 2024",Diesel,Usata,85kW (116CV) ,50054 Fucecchio (FI),,Sani Moreno srl
Audi A3 SPB 30 TDI 116CV  CronoTagliandi Tetto Panorama,SPB 30 TDI 116CV  CronoTagliandi Tetto Panorama,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2022-a553c6d9199dda62?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2022-a553c6d9199dda62?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15,"27.890 €
    
    
    

- 4% 26.890 €",80.200 km ,Man. 6 marce ,"Giu, 2022",Diesel,Usata,85kW (116CV) ,,00012 Guidonia Montecello (RM),
"Audi A3
SportBack 30 Advanced 2.0 TDI 115CV",SportBack 30 Advanced 2.0 TDI 115CV,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2023-ccac1310ced3d16f?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2023-ccac1310ced3d16f?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15, 26.890 €,51.083 km ,Man. 6 marce ,"Mar, 2023",Diesel,Usata,85kW (116CV) ,,95040 Mirabella Imbaccari (CT),
,,,,,,,,,,,,,
"Audi A3
SPB 35 TDI S line edition",SPB 35 TDI S line edition,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2021-29301d3fc87cedc6?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2021-29301d3fc87cedc6?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15, 26.900 €,88.250 km ,Man. 6 marce ,"Mag, 2021",Diesel,Usata,85kW (116CV) ,,66026 Ortona (CH),
"Audi A3
35 2.0 tdi Business s-tronic",35 2.0 tdi Business s-tronic,https://autosupermarket.it/annunci/audi-a3-2-0-diesel-2022-ef8c1da4706d59cf?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15,https://autosupermarket.it/annunci/audi-a3-2-0-diesel-2022-ef8c1da4706d59cf?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15, 26.900 €,90.339 km ,Aut. 7 marce ,"Giu, 2022",Diesel,Usata,111kW (151CV) ,,92027 Licata (AG),
"Audi A3
A3 SPB 35 TFSI Business",A3 SPB 35 TFSI Business,https://autosupermarket.it/annunci/audi-a3-35-tfsi-benzina-2022-9052d48ae8de09c4?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15,https://autosupermarket.it/annunci/audi-a3-35-tfsi-benzina-2022-9052d48ae8de09c4?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15, 26.900 €,40.285 km ,Man. 6 marce ,"Apr, 2022",Benzina,Usata,110kW (150CV) ,,89135 Reggio di Calabria (RC),
"Audi A3
SPB 30 TDI Business Advanced",SPB 30 TDI Business Advanced,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2021-df48683a23fbed07?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2021-df48683a23fbed07?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15, 26.900 €,37.920 km ,Man. 6 marce ,"Feb, 2021",Diesel,Usata,85kW (116CV) ,,62026 San Ginesio (MC),
"Audi A3
SPB 30 TFSI S tronic S line edition MYLD HYBRID",SPB 30 TFSI S tronic S line edition MYLD HYBRID,https://autosupermarket.it/annunci/audi-a3-30-tfsi-ibrida-2021-0667fe18e65d3aa9?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15,https://autosupermarket.it/annunci/audi-a3-30-tfsi-ibrida-2021-0667fe18e65d3aa9?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D15, 26.900 €,43.600 km ,Aut. 7 marce ,"Dic, 2021",Ibrida,Usata,81kW (111CV) ,,31046 ODERZO (TV),
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Audi A3
SPB 40 e-tron S / OPZIONE NOLEGGIO",SPB 40 e-tron S / OPZIONE NOLEGGIO,https://autosupermarket.it/annunci/audi-a3-40-e-tron-ibrida-2021-948dca1de1accd1e?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16,https://autosupermarket.it/annunci/audi-a3-40-e-tron-ibrida-2021-948dca1de1accd1e?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16,"27.400 €
    
    
    

- 2% 26.900 €",90.000 km ,Aut. 6 marce ,"Gen, 2021",Ibrida,Usata,110kW (150CV) ,,25050 Niardo (BS),
Audi A3  - a3 sportback 30 2.0 tdi business advanced s-tronic, - a3 sportback 30 2.0 tdi business advanced s-tronic,https://autosupermarket.it/annunci/audi-a3-2-0-diesel-2022-d2472f06acb85413?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16,https://autosupermarket.it/annunci/audi-a3-2-0-diesel-2022-d2472f06acb85413?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16, 26.900 €,59.994 km ,Aut. ,"Mar, 2022",Diesel,Usata,85kW (116CV) ,,20126 Milano (MI),
"Audi A3
4ª serie SPB 30 TDI S tronic S line edition",4ª serie SPB 30 TDI S tronic S line edition,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2023-c59c7b11b58933a1?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2023-c59c7b11b58933a1?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16, 26.900 €,50.990 km ,Aut. 7 marce ,"Apr, 2023",Diesel,Usata,85kW (116CV) ,,10122 Torino (TO),
"Audi A3
SPORTBACK 30 TDI S tronic Business Advanced",SPORTBACK 30 TDI S tronic Business Advanced,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2022-20846661fc710137?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2022-20846661fc710137?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16, 26.900 €,43.477 km ,Aut. 7 marce ,"Ago, 2022",Diesel,Usata,85kW (116CV) ,,27029 Vigevano (PV),
"Audi A3
AUDI A3 NUOVA SPORTBACK 30 TDI 115 CV MY’ 25",AUDI A3 NUOVA SPORTBACK 30 TDI 115 CV MY’ 25,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2025-6059d1f20f4845ad?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2025-6059d1f20f4845ad?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16, 26.950 €,1 km ,Man. 6 marce ,"Lug, 2025",Diesel,Nuova,85kW (116CV) ,,24064 Grumello del Monte (BG),
Audi A3 SPB 30 TFSI S tronic  Advanced,SPB 30 TFSI S tronic  Advanced,https://autosupermarket.it/annunci/audi-a3-30-tfsi-ibrida-2023-a2601c75393677bf?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16,https://autosupermarket.it/annunci/audi-a3-30-tfsi-ibrida-2023-a2601c75393677bf?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16, 26.990 €,24.835 km ,Aut. 7 marce ,"Ago, 2023",Ibrida,Usata,81kW (111CV) ,,28040 Dormelletto (NO),
,,,,,,,,,,,,,
"Audi A3
SPB 35 TDI S tronic S line edition",SPB 35 TDI S tronic S line edition,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2021-47f167fb07300df8?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2021-47f167fb07300df8?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16, 26.990 €,94.500 km ,Aut. 7 marce ,"Dic, 2021",Diesel,Usata,110kW (150CV) ,,20814 Varedo (MB),
"Audi A3
SPB 35 TDI S tronic S line edition",SPB 35 TDI S tronic S line edition,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2021-7053e515dd5bf36e?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2021-7053e515dd5bf36e?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16, 26.990 €,94.500 km ,Aut. 7 marce ,"Dic, 2021",Diesel,Usata,110kW (150CV) ,,20814 VAREDO (MB),
"Audi A3
SPB 35 TDI S tronic S line edition",SPB 35 TDI S tronic S line edition,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2021-d60fc1f13160f5d3?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2021-d60fc1f13160f5d3?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16, 26.990 €,94.500 km ,Aut. 7 marce ,"Dic, 2021",Diesel,Usata,110kW (150CV) ,,20814 Varedo (MB),
"Audi A3
SPB 35 TDI S tronic S line edition",SPB 35 TDI S tronic S line edition,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2021-23dbab7fa3e0be71?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2021-23dbab7fa3e0be71?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16, 26.990 €,94.500 km ,Aut. 7 marce ,"Dic, 2021",Diesel,Usata,110kW (150CV) ,,20814 Varedo (MB),
"Audi A3
SPB 35 TDI Business",SPB 35 TDI Business,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2021-1dc40bf70596cf7a?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2021-1dc40bf70596cf7a?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16, 27.000 €,49.000 km ,Aut. 6 marce ,"Dic, 2021",Diesel,Usata,110kW (150CV) ,,00062 Bracciano (RM),
,,,,,,,,,,,,,
"Audi A3
SPB 35 TFSI MHEV S-tronic Business",SPB 35 TFSI MHEV S-tronic Business,https://autosupermarket.it/annunci/audi-a3-35-tfsi-ibrida-2021-9eb8aa7a12e47b0b?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16,https://autosupermarket.it/annunci/audi-a3-35-tfsi-ibrida-2021-9eb8aa7a12e47b0b?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16, 27.000 €,47.600 km ,Aut. 7 marce ,"Lug, 2021",Ibrida,Usata,110kW (150CV) ,,20025 Legnano (MI),
Audi A3 A3  2022 Sptbk 30 1.0tfsi mhev Sline edition s-tr,A3  2022 Sptbk 30 1.0tfsi mhev Sline edition s-tr,https://autosupermarket.it/annunci/audi-a3-3-2-ibrida-2022-98f178cef9162871?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16,https://autosupermarket.it/annunci/audi-a3-3-2-ibrida-2022-98f178cef9162871?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16, 27.000 €,61.600 km ,Aut. 7 marce ,"Feb, 2022",Ibrida,Usata,82kW (112CV) ,,10034 Chivasso (TO),
Audi A3  - a3 sportback 30 2.0 tdi s-tronic, - a3 sportback 30 2.0 tdi s-tronic,https://autosupermarket.it/annunci/audi-a3-2-0-diesel-2023-d9447ee1410c5114?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16,https://autosupermarket.it/annunci/audi-a3-2-0-diesel-2023-d9447ee1410c5114?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16, 31.800 €,33.167 km ,Aut. ,"Ago, 2023",Diesel,Usata,85kW (116CV) ,19126 La Spezia (SP),,GINO S.P.A
"Audi A3
SPB 35 TFSI S tronic S line edition",SPB 35 TFSI S tronic S line edition,https://autosupermarket.it/annunci/audi-a3-35-tfsi-ibrida-2023-66dd02283269e4fa?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16,https://autosupermarket.it/annunci/audi-a3-35-tfsi-ibrida-2023-66dd02283269e4fa?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16, 31.800 €,20.200 km ,Aut. 7 marce ,"Gen, 2023",Ibrida,Usata,110kW (150CV) ,10040 Leini (TO),,AUTOSPORT S.R.L.
"Audi A3
SEDAN 35 TFSI",SEDAN 35 TFSI,https://autosupermarket.it/annunci/audi-a3-35-tfsi-ibrida-2020-a8fc4154b620ec7c?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16,https://autosupermarket.it/annunci/audi-a3-35-tfsi-ibrida-2020-a8fc4154b620ec7c?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D16, 31.900 €,34.786 km ,Aut. ,"Ott, 2020",Ibrida,Usata,110kW (150CV) ,98125 Messina (ME),,FATA S.R.L.
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Audi A3
SPB 35 TFSI S tronic S line edition",SPB 35 TFSI S tronic S line edition,https://autosupermarket.it/annunci/audi-a3-35-tfsi-ibrida-2023-aadc24b8cb98f372?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D17,https://autosupermarket.it/annunci/audi-a3-35-tfsi-ibrida-2023-aadc24b8cb98f372?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D17, 32.000 €,19.800 km ,Aut. 7 marce ,"Apr, 2023",Ibrida,Usata,110kW (150CV) ,10040 Leini (TO),,AUTOSPORT S.R.L.
"Audi A3
SPB 40 TFSI e S tronic",SPB 40 TFSI e S tronic,https://autosupermarket.it/annunci/audi-a3-40-tfsi-ibrida-2021-efd49c9bb18d75da?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D17,https://autosupermarket.it/annunci/audi-a3-40-tfsi-ibrida-2021-efd49c9bb18d75da?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D17, 27.300 €,52.500 km ,Aut. 6 marce ,"Lug, 2021",Ibrida,Usata,110kW (150CV) ,,41051 Castelnuovo Rangone (MO),
"Audi A3
A3 SPB 35 TDI S tronic Business",A3 SPB 35 TDI S tronic Business,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2021-e7e9deb380fc0383?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D17,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2021-e7e9deb380fc0383?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D17, 27.490 €,62.993 km ,Aut. 7 marce ,"Mag, 2021",Diesel,Usata,110kW (150CV) ,,94012 Barrafranca (EN),
